pmaster_sku,band_lw,pv_lw,pv_l30d
8485934678730,B,26,
6987775916627,B,26,
5277242882854,B,26,
9460062028840,B,26,
9068728686588,B,26,
4188658643922,B,282,
6103013107934,B,282,
6775623792864,B,282,
6545560961611,A,282,
8290751889198,B,27,
7927321151750,B,27,
2481986951412,B,27,
8267326933661,B,27,
9901010603872,B,27,
2671537008555,B,27,
1079407605391,B,27,
6727981173526,B,27,
9965463788445,B,27,
5045022224732,B,27,
4646846259545,B,27,
9113224071301,B,27,
1415994034530,B,27,
9053213883169,B,27,
5783408148165,B,27,
8807831697300,B,27,
8159562986139,B,27,
3081907004513,B,27,
6341088750769,B,27,
9696560615481,B,27,
7631466254909,B,27,
4430923449789,B,27,
3746414123672,B,27,
6290933064383,B,27,
7749566749642,B,27,
9557885776056,B,27,
3560733010761,B,27,
5781171303026,B,27,
2672691947063,B,27,
8123183104221,B,27,
6294836024024,B,27,
9347040801916,B,27,
1932309494176,B,27,
5137883971259,B,27,
1715810088665,B,27,
8585008223085,B,27,
8170542488493,B,27,
3315788942938,B,27,
8126776801715,B,27,
7775386959749,B,27,
7978528943402,B,27,
9183450927808,B,27,
8049941957778,B,27,
2350757275037,B,27,
7892185750611,B,27,
7355341635903,B,27,
2424356654027,B,27,
9109001989984,B,27,
6888639925324,B,27,
5539819434195,B,27,
2298463636029,B,27,
8184922112860,B,27,
1715486971346,B,27,
3689039077224,B,27,
1093270648978,B,27,
9314776185955,B,27,
5468225757287,B,27,
5242516044210,B,27,
3395763986947,B,27,
4993857510975,B,27,
7691743524446,B,27,
1082478298553,B,27,
3591081664849,B,27,
5694485711855,B,27,
9375752404892,B,27,
3614178694434,B,27,
6834251625465,B,27,
8473786828670,B,27,
1005963503642,B,27,
6971223323600,B,27,
5671844159596,B,27,
8366330586184,B,27,
1300951899560,B,27,
3681528819533,B,27,
2565206654092,B,27,
7322779398069,B,27,
3294595012215,B,27,
4483482404615,B,27,
1560119728930,B,27,
7492961486918,B,27,
7203773616401,B,27,
6991277385096,B,27,
8802326533703,B,27,
6878067648992,B,27,
4292351049940,B,27,
6746124113320,B,27,
5225090323730,B,27,
7408353347313,B,27,
8952657014188,B,27,
1383268398855,B,27,
6147390233063,B,27,
2863080348538,B,27,
1883339616918,B,27,
3979394221605,B,27,
4587137822874,B,27,
8048752589120,B,27,
5634628639776,B,27,
3435125231959,B,27,
1914001986852,B,27,
6470696945819,B,27,
3326312114679,B,283,
2547036700636,B,283,
5414627975518,A,283,
9424366660443,B,28,
7683917504361,B,28,
4298289599926,B,28,
2403934022076,B,28,
5480403042084,B,28,
1720673366492,B,28,
6185033590864,B,28,
4814522477433,B,28,
8056314428025,B,28,
5631156305456,B,28,
8217243388148,B,28,
4085971594907,B,28,
7318429762460,B,28,
9744453164063,B,28,
8111074684361,B,28,
5342433290088,B,28,
2075858002479,B,28,
8235807246364,B,28,
5942180143519,B,28,
8881280140820,B,28,
1621556773461,B,28,
4996083506286,B,28,
9413639452781,B,28,
3566152902281,B,28,
4794185584669,B,28,
8245726877991,B,28,
6985024136668,B,28,
3602472141306,B,28,
3112669435882,B,28,
9102839987239,B,28,
7676666581745,B,28,
6671020733291,B,28,
1705031452834,B,28,
9254183175616,B,28,
7531077661908,B,28,
6217087802357,B,28,
2321657510348,B,28,
8906187511198,B,28,
5863712541903,B,28,
6604579334012,B,28,
8117423615612,B,28,
3564583711492,B,28,
4783981210132,B,28,
6908343216413,B,28,
3623137216372,B,28,
5161549415450,B,28,
2991922427194,B,28,
1907743559187,B,28,
3169089623672,B,28,
1985999785123,B,28,
2234598533802,B,28,
6697806149482,B,28,
1370728951397,B,28,
3321253291500,B,28,
6488760071960,B,28,
4086405492451,B,28,
5780699512651,B,28,
7101724424424,B,28,
7027055919598,B,28,
5046210016405,B,28,
3780475489100,B,28,
5208208885358,B,28,
4768020561696,B,28,
6970365825461,B,28,
1714200479625,B,28,
6553053987322,B,28,
3674573538720,B,28,
1967545650422,B,28,
6089511960847,B,28,
7809261425986,B,28,
6111180183002,B,28,
2836321285110,B,28,
7797104119733,B,28,
4110244475772,B,28,
2923498151901,B,28,
8175735867418,B,28,
5972040124877,B,28,
7915673301633,B,28,
7998256401807,B,28,
6842785688707,B,28,
2342319352072,B,28,
4080367963954,B,28,
4456759136006,B,28,
5483291355751,B,28,
7735686579764,B,28,
5719233259165,B,28,
8641529998016,B,28,
7408414596064,B,28,
6457788526149,B,28,
8619540503981,B,28,
2983876617893,B,28,
1631212530901,B,28,
3173796522555,B,28,
6307841816994,B,28,
2265323518146,B,28,
8585306905980,B,28,
9587164161678,B,28,
7321706839088,B,28,
2104001007612,B,28,
6910575405701,B,28,
8573709196883,B,28,
9960104648304,B,28,
9307441309367,B,28,
4696055702608,B,28,
6410572649623,B,28,
9715090061121,B,28,
4331746900238,B,28,
6327308904484,B,28,
4644070289991,B,28,
4135011517457,B,28,
3046911229854,B,28,
9636330640169,B,28,
7080028568104,B,28,
6343048541154,B,28,
6910631073870,B,28,
8873074920596,B,28,
4470088133819,B,28,
2384205934406,B,28,
2364451229877,B,28,
9136314883101,B,28,
6446296760749,B,28,
9659808343386,B,28,
3574795921538,B,28,
1269816192950,B,28,
8214733659080,B,28,
6221285599865,B,28,
8502305200458,B,28,
2928067230605,B,28,
5127941594520,B,28,
5895152781571,B,28,
9760676706767,B,28,
